assoc=2
liang_total
,adpcm_dec_main,binarysearch_main,cover_main
ndes_main,4393873,4052756,4615192

zhang_inter
,adpcm_dec_main,binarysearch_main,cover_main
ndes_main,439700,202700,513100

our_inter
,adpcm_dec_main,binarysearch_main,cover_main
ndes_main,130900,42800,218700

intra
,adpcm_dec_main,binarysearch_main,cover_main
ndes_main,3559704,3468483,3663068


assoc=4
liang_total
,adpcm_dec_main,binarysearch_main,cover_main
ndes_main,4393873,3460123,4615192

zhang_inter
,adpcm_dec_main,binarysearch_main,cover_main
ndes_main,439700,215500,526700

our_inter
,adpcm_dec_main,binarysearch_main,cover_main
ndes_main,62600,500,200100

intra
,adpcm_dec_main,binarysearch_main,cover_main
ndes_main,3458226,3450442,3607574


assoc=8
liang_total
,adpcm_dec_main,binarysearch_main,cover_main
ndes_main,4393873,3450245,4250601

zhang_inter
,adpcm_dec_main,binarysearch_main,cover_main
ndes_main,439700,212500,526700

our_inter
,adpcm_dec_main,binarysearch_main,cover_main
ndes_main,16600,0,1500

intra
,adpcm_dec_main,binarysearch_main,cover_main
ndes_main,3452402,3450245,3606049


